pdbid,pK_predicted,t_prep_s,t_inf_s,t_tot_s,Model,pK_true
3f3e,5.74867,0.012105,0.25614,0.26824499999999996,AEScore,7.7
3fcq,5.38805,0.012105,0.25614,0.26824499999999996,AEScore,2.77
3fur,8.11068,0.012105,0.25614,0.26824499999999996,AEScore,8.0
3fv1,10.72143,0.012105,0.25614,0.26824499999999996,AEScore,9.3
3fv2,8.67592,0.012105,0.25614,0.26824499999999996,AEScore,8.11
3g0w,7.92597,0.012105,0.25614,0.26824499999999996,AEScore,9.52
3g2n,6.64287,0.012105,0.25614,0.26824499999999996,AEScore,4.09
3g2z,4.99086,0.012105,0.25614,0.26824499999999996,AEScore,2.36
3g31,3.60306,0.012105,0.25614,0.26824499999999996,AEScore,2.89
3gbb,9.25124,0.012105,0.25614,0.26824499999999996,AEScore,6.9
3gc5,8.0224,0.012105,0.25614,0.26824499999999996,AEScore,7.26
3ge7,9.7413,0.012105,0.25614,0.26824499999999996,AEScore,8.7
3gnw,11.2523,0.012105,0.25614,0.26824499999999996,AEScore,9.1
3gr2,4.64138,0.012105,0.25614,0.26824499999999996,AEScore,2.52
3gv9,5.63709,0.012105,0.25614,0.26824499999999996,AEScore,2.12
3gy4,4.18105,0.012105,0.25614,0.26824499999999996,AEScore,5.1
3ivg,6.23839,0.012105,0.25614,0.26824499999999996,AEScore,4.3
3jvr,4.39229,0.012105,0.25614,0.26824499999999996,AEScore,5.72
3jvs,4.35369,0.012105,0.25614,0.26824499999999996,AEScore,6.54
3jya,5.93448,0.012105,0.25614,0.26824499999999996,AEScore,6.89
3k5v,6.17888,0.012105,0.25614,0.26824499999999996,AEScore,6.3
3kgp,2.74573,0.012105,0.25614,0.26824499999999996,AEScore,2.57
3kr8,8.05912,0.012105,0.25614,0.26824499999999996,AEScore,8.1
3kwa,7.36259,0.012105,0.25614,0.26824499999999996,AEScore,4.08
3l7b,5.42277,0.012105,0.25614,0.26824499999999996,AEScore,2.4
3lka,4.84577,0.012105,0.25614,0.26824499999999996,AEScore,2.82
3mss,5.04431,0.012105,0.25614,0.26824499999999996,AEScore,4.66
3myg,9.48991,0.012105,0.25614,0.26824499999999996,AEScore,10.7
3n76,7.14132,0.012105,0.25614,0.26824499999999996,AEScore,6.85
3n7a,6.36746,0.012105,0.25614,0.26824499999999996,AEScore,3.7
3n86,7.96295,0.012105,0.25614,0.26824499999999996,AEScore,5.64
3nq9,6.17097,0.012105,0.25614,0.26824499999999996,AEScore,4.03
3nw9,10.9202,0.012105,0.25614,0.26824499999999996,AEScore,9.0
3nx7,7.36379,0.012105,0.25614,0.26824499999999996,AEScore,8.1
3o9i,12.23833,0.012105,0.25614,0.26824499999999996,AEScore,11.82
3oe4,10.04312,0.012105,0.25614,0.26824499999999996,AEScore,7.47
3oe5,10.4628,0.012105,0.25614,0.26824499999999996,AEScore,6.88
3ozs,10.48154,0.012105,0.25614,0.26824499999999996,AEScore,5.33
3ozt,10.62851,0.012105,0.25614,0.26824499999999996,AEScore,4.13
3p5o,8.02128,0.012105,0.25614,0.26824499999999996,AEScore,7.3
3prs,9.96392,0.012105,0.25614,0.26824499999999996,AEScore,7.82
3pww,10.07822,0.012105,0.25614,0.26824499999999996,AEScore,7.32
3pxf,5.31907,0.012105,0.25614,0.26824499999999996,AEScore,4.43
3pyy,7.67989,0.012105,0.25614,0.26824499999999996,AEScore,6.86
3qgy,7.07338,0.012105,0.25614,0.26824499999999996,AEScore,7.8
3qqs,5.92033,0.012105,0.25614,0.26824499999999996,AEScore,5.82
3r88,6.02479,0.012105,0.25614,0.26824499999999996,AEScore,4.82
3rlr,8.39997,0.012105,0.25614,0.26824499999999996,AEScore,7.52
3rr4,7.33909,0.012105,0.25614,0.26824499999999996,AEScore,4.55
3rsx,6.35789,0.012105,0.25614,0.26824499999999996,AEScore,4.41
3ryj,7.74707,0.012105,0.25614,0.26824499999999996,AEScore,7.8
3syr,7.5742,0.012105,0.25614,0.26824499999999996,AEScore,5.1
3tsk,7.18693,0.012105,0.25614,0.26824499999999996,AEScore,7.17
3twp,3.46785,0.012105,0.25614,0.26824499999999996,AEScore,3.92
3u5j,8.15625,0.012105,0.25614,0.26824499999999996,AEScore,5.61
3u8k,7.73492,0.012105,0.25614,0.26824499999999996,AEScore,8.66
3u8n,8.1383,0.012105,0.25614,0.26824499999999996,AEScore,10.17
3u9q,7.17228,0.012105,0.25614,0.26824499999999996,AEScore,4.38
3udh,6.37278,0.012105,0.25614,0.26824499999999996,AEScore,2.85
3ueu,7.74408,0.012105,0.25614,0.26824499999999996,AEScore,5.24
3uev,7.82953,0.012105,0.25614,0.26824499999999996,AEScore,5.89
3uew,7.6931,0.012105,0.25614,0.26824499999999996,AEScore,6.31
3uex,8.16432,0.012105,0.25614,0.26824499999999996,AEScore,6.92
3ui7,7.69134,0.012105,0.25614,0.26824499999999996,AEScore,9.0
3uo4,6.73382,0.012105,0.25614,0.26824499999999996,AEScore,6.52
3up2,6.80449,0.012105,0.25614,0.26824499999999996,AEScore,7.4
3uri,10.05419,0.012105,0.25614,0.26824499999999996,AEScore,9.0
3utu,9.13892,0.012105,0.25614,0.26824499999999996,AEScore,10.92
3uuo,6.91153,0.012105,0.25614,0.26824499999999996,AEScore,7.96
3wtj,7.08558,0.012105,0.25614,0.26824499999999996,AEScore,6.53
3wz8,7.77781,0.012105,0.25614,0.26824499999999996,AEScore,5.82
3zdg,6.22037,0.012105,0.25614,0.26824499999999996,AEScore,7.1
3zso,5.38085,0.012105,0.25614,0.26824499999999996,AEScore,5.12
3zsx,4.3588,0.012105,0.25614,0.26824499999999996,AEScore,3.28
3zt2,3.59097,0.012105,0.25614,0.26824499999999996,AEScore,2.84
4abg,3.83938,0.012105,0.25614,0.26824499999999996,AEScore,3.57
4agn,4.68364,0.012105,0.25614,0.26824499999999996,AEScore,3.97
4agp,4.87143,0.012105,0.25614,0.26824499999999996,AEScore,4.69
4agq,4.90142,0.012105,0.25614,0.26824499999999996,AEScore,5.01
4bkt,5.48491,0.012105,0.25614,0.26824499999999996,AEScore,3.62
4cig,5.7049,0.012105,0.25614,0.26824499999999996,AEScore,3.67
4ciw,5.46885,0.012105,0.25614,0.26824499999999996,AEScore,4.82
4cr9,3.851,0.012105,0.25614,0.26824499999999996,AEScore,4.1
4cra,6.49162,0.012105,0.25614,0.26824499999999996,AEScore,7.22
4crc,7.60231,0.012105,0.25614,0.26824499999999996,AEScore,8.72
4ddh,4.83223,0.012105,0.25614,0.26824499999999996,AEScore,3.32
4ddk,3.05501,0.012105,0.25614,0.26824499999999996,AEScore,2.29
4de1,6.79552,0.012105,0.25614,0.26824499999999996,AEScore,5.96
4de2,6.95175,0.012105,0.25614,0.26824499999999996,AEScore,4.12
4de3,7.13438,0.012105,0.25614,0.26824499999999996,AEScore,5.52
4djv,9.15341,0.012105,0.25614,0.26824499999999996,AEScore,6.72
4dld,8.98874,0.012105,0.25614,0.26824499999999996,AEScore,5.82
4dli,6.21501,0.012105,0.25614,0.26824499999999996,AEScore,5.62
4e5w,9.68227,0.012105,0.25614,0.26824499999999996,AEScore,7.66
4e6q,7.71656,0.012105,0.25614,0.26824499999999996,AEScore,8.36
4ea2,8.26588,0.012105,0.25614,0.26824499999999996,AEScore,6.44
4eky,7.21248,0.012105,0.25614,0.26824499999999996,AEScore,3.52
4eo8,8.0769,0.012105,0.25614,0.26824499999999996,AEScore,8.15
4eor,7.70847,0.012105,0.25614,0.26824499999999996,AEScore,6.3
4f09,7.91135,0.012105,0.25614,0.26824499999999996,AEScore,6.7
4f2w,8.78544,0.012105,0.25614,0.26824499999999996,AEScore,11.3
4f3c,11.34321,0.012105,0.25614,0.26824499999999996,AEScore,11.82
4f9w,8.17861,0.012105,0.25614,0.26824499999999996,AEScore,6.94
4gfm,7.32181,0.012105,0.25614,0.26824499999999996,AEScore,7.22
4gid,11.12557,0.012105,0.25614,0.26824499999999996,AEScore,10.77
4gkm,5.85072,0.012105,0.25614,0.26824499999999996,AEScore,5.17
4gr0,9.46073,0.012105,0.25614,0.26824499999999996,AEScore,9.55
4hge,8.3673,0.012105,0.25614,0.26824499999999996,AEScore,7.92
4hge,8.3673,0.012105,0.25614,0.26824499999999996,AEScore,7.92
4ih5,5.90861,0.012105,0.25614,0.26824499999999996,AEScore,4.11
4ih7,5.44797,0.012105,0.25614,0.26824499999999996,AEScore,5.24
4ivb,8.32371,0.012105,0.25614,0.26824499999999996,AEScore,8.72
4ivc,7.8321,0.012105,0.25614,0.26824499999999996,AEScore,10.0
4ivd,8.23393,0.012105,0.25614,0.26824499999999996,AEScore,9.52
4j21,7.70846,0.012105,0.25614,0.26824499999999996,AEScore,7.41
4j28,7.5326,0.012105,0.25614,0.26824499999999996,AEScore,5.7
4j3l,8.71041,0.012105,0.25614,0.26824499999999996,AEScore,7.8
4jfs,8.477,0.012105,0.25614,0.26824499999999996,AEScore,5.27
4jia,8.50133,0.012105,0.25614,0.26824499999999996,AEScore,9.22
4jsz,3.92065,0.012105,0.25614,0.26824499999999996,AEScore,2.3
4jxs,7.17553,0.012105,0.25614,0.26824499999999996,AEScore,4.74
4k18,8.73954,0.012105,0.25614,0.26824499999999996,AEScore,8.96
4k77,7.689,0.012105,0.25614,0.26824499999999996,AEScore,6.63
4kz6,5.9791,0.012105,0.25614,0.26824499999999996,AEScore,3.1
4kzq,7.21128,0.012105,0.25614,0.26824499999999996,AEScore,6.1
4kzu,7.07732,0.012105,0.25614,0.26824499999999996,AEScore,6.5
4llx,6.07569,0.012105,0.25614,0.26824499999999996,AEScore,2.89
4lzs,7.11922,0.012105,0.25614,0.26824499999999996,AEScore,4.8
4m0y,6.27286,0.012105,0.25614,0.26824499999999996,AEScore,6.46
4m0z,7.32102,0.012105,0.25614,0.26824499999999996,AEScore,5.19
4mgd,7.10401,0.012105,0.25614,0.26824499999999996,AEScore,4.69
4mme,6.23682,0.012105,0.25614,0.26824499999999996,AEScore,6.5
4ogj,8.52547,0.012105,0.25614,0.26824499999999996,AEScore,6.79
4owm,3.64892,0.012105,0.25614,0.26824499999999996,AEScore,2.96
4pcs,8.40475,0.012105,0.25614,0.26824499999999996,AEScore,7.85
4qac,8.49871,0.012105,0.25614,0.26824499999999996,AEScore,9.4
4qd6,7.06847,0.012105,0.25614,0.26824499999999996,AEScore,8.64
4rfm,8.04354,0.012105,0.25614,0.26824499999999996,AEScore,10.05
4tmn,10.01746,0.012105,0.25614,0.26824499999999996,AEScore,10.17
4twp,7.193,0.012105,0.25614,0.26824499999999996,AEScore,10.0
4ty7,8.01257,0.012105,0.25614,0.26824499999999996,AEScore,9.52
4u4s,6.12882,0.012105,0.25614,0.26824499999999996,AEScore,2.92
4w9c,6.52883,0.012105,0.25614,0.26824499999999996,AEScore,4.65
4w9h,7.79973,0.012105,0.25614,0.26824499999999996,AEScore,6.73
4w9i,6.86411,0.012105,0.25614,0.26824499999999996,AEScore,5.96
4w9l,7.81503,0.012105,0.25614,0.26824499999999996,AEScore,5.02
4wiv,7.50322,0.012105,0.25614,0.26824499999999996,AEScore,6.26
4x6p,9.2522,0.012105,0.25614,0.26824499999999996,AEScore,8.3
5a7b,5.93996,0.012105,0.25614,0.26824499999999996,AEScore,3.57
5aba,5.71729,0.012105,0.25614,0.26824499999999996,AEScore,2.98
5c28,6.35862,0.012105,0.25614,0.26824499999999996,AEScore,5.66
5c2h,9.90897,0.012105,0.25614,0.26824499999999996,AEScore,11.09
5dwr,8.53872,0.012105,0.25614,0.26824499999999996,AEScore,11.22
5tmn,9.52963,0.012105,0.25614,0.26824499999999996,AEScore,8.04
4llx,7.8279963,0.1151793003082275,0.2646772861480713,0.3798565864562988,ConBAP,2.89
5c28,7.4468694,0.0767657756805419,0.3570401668548584,0.4338059425354003,ConBAP,5.66
3uuo,8.12308,0.0554728507995605,0.3698463439941406,0.4253191947937011,ConBAP,7.96
3ui7,8.082009,0.0518524646759033,0.4018433094024658,0.45369577407836914,ConBAP,9.0
5c2h,9.365518,0.0411915779113769,0.5338301658630371,0.5750217437744141,ConBAP,11.09
2v00,7.297893,0.0509507656097412,0.3299660682678222,0.3809168338775634,ConBAP,3.66
3wz8,8.530269,0.1018733978271484,0.354313850402832,0.45618724822998036,ConBAP,5.82
3pww,8.45271,0.0597872734069824,0.5396733283996582,0.5994606018066406,ConBAP,7.32
3prs,8.13731,0.0863003730773925,0.5517573356628418,0.6380577087402343,ConBAP,7.82
3uri,7.3550153,0.2875378131866455,0.5190610885620117,0.8065989017486572,ConBAP,9.0
4m0z,8.673747,0.0509829521179199,0.3967187404632568,0.4477016925811767,ConBAP,5.19
4m0y,8.939416,0.0402073860168457,0.2943699359893799,0.3345773220062256,ConBAP,6.46
3qgy,8.002828,0.0399930477142334,0.3109490871429443,0.3509421348571777,ConBAP,7.8
4qd6,7.6167455,0.0683000087738037,0.287700891494751,0.3560009002685547,ConBAP,8.64
4rfm,7.4017916,0.0459098815917968,0.3183217048645019,0.3642315864562987,ConBAP,10.05
4cr9,7.6958394,0.0413036346435546,0.2608728408813476,0.3021764755249022,ConBAP,4.1
4cra,9.099212,0.1484787464141845,0.4724154472351074,0.6208941936492919,ConBAP,7.22
4x6p,9.498581,0.0600903034210205,0.4879312515258789,0.5480215549468994,ConBAP,8.3
4crc,8.645108,0.0952527523040771,0.5125136375427246,0.6077663898468018,ConBAP,8.72
4ty7,8.423188,0.0524699687957763,0.4357688426971435,0.4882388114929198,ConBAP,9.52
5aba,7.157315,0.0821990966796875,0.2810142040252685,0.363213300704956,ConBAP,2.98
5a7b,7.039906,0.0679769515991211,0.3556435108184814,0.4236204624176025,ConBAP,3.57
4agn,6.8926926,0.059967041015625,0.3045222759246826,0.3644893169403076,ConBAP,3.97
4agp,6.770562,0.0423076152801513,0.2978460788726806,0.3401536941528319,ConBAP,4.69
4agq,6.7535653,0.1196587085723877,0.3803820610046386,0.5000407695770264,ConBAP,5.01
3bgz,8.625165,0.0354435443878173,0.3588409423828125,0.39428448677062977,ConBAP,6.26
3jya,6.6325903,0.0311214923858642,0.3071529865264892,0.3382744789123534,ConBAP,6.89
2c3i,8.058301,0.0690717697143554,0.3852784633636474,0.4543502330780028,ConBAP,7.6
4k18,9.193507,0.0371148586273193,0.4107975959777832,0.4479124546051025,ConBAP,8.96
5dwr,7.9314857,0.08467698097229,0.4499797821044922,0.5346567630767822,ConBAP,11.22
3mss,6.4582562,0.0397224426269531,0.3573157787322998,0.39703822135925293,ConBAP,4.66
3k5v,7.5945396,0.0610969066619873,0.306309700012207,0.3674066066741943,ConBAP,6.3
3pyy,8.617064,0.0455865859985351,0.2814588546752929,0.327045440673828,ConBAP,6.86
2v7a,7.2967205,0.0797979831695556,0.3992908000946045,0.4790887832641601,ConBAP,8.3
4twp,9.487857,0.068580150604248,0.3651139736175537,0.4336941242218017,ConBAP,10.0
3wtj,8.475493,0.0644290447235107,0.405529260635376,0.46995830535888666,ConBAP,6.53
3zdg,7.222984,0.0823779106140136,0.3880178928375244,0.47039580345153803,ConBAP,7.1
3u8k,7.4346404,0.0928411483764648,0.3880312442779541,0.4808723926544189,ConBAP,8.66
4qac,8.3341055,0.0721077919006347,0.5029444694519043,0.575052261352539,ConBAP,9.4
3u8n,7.8012967,0.10512375831604,0.3667702674865722,0.4718940258026122,ConBAP,10.17
1a30,7.7406116,0.0363306999206543,0.3494374752044678,0.38576817512512207,ConBAP,4.3
2qnq,8.448796,0.0497243404388427,0.5159792900085449,0.5657036304473876,ConBAP,6.11
1g2k,8.655909,0.0489673614501953,0.4991853237152099,0.5481526851654052,ConBAP,7.96
1eby,9.252532,0.0488185882568359,0.4766807556152344,0.5254993438720703,ConBAP,9.7
3o9i,8.537718,0.0593347549438476,0.3918030261993408,0.4511377811431884,ConBAP,11.82
4lzs,7.1295724,0.0750601291656494,0.3247983455657959,0.3998584747314453,ConBAP,4.8
3u5j,8.424233,0.040135383605957,0.3423554897308349,0.3824908733367919,ConBAP,5.61
4wiv,7.8431787,0.0362257957458496,0.3712785243988037,0.4075043201446533,ConBAP,6.26
4ogj,6.7293916,0.0711944103240966,0.3820796012878418,0.45327401161193837,ConBAP,6.79
3p5o,7.4951286,0.0565564632415771,0.3792154788970947,0.4357719421386718,ConBAP,7.3
1ps3,6.451359,0.1006710529327392,0.3785231113433838,0.479194164276123,ConBAP,2.28
3dx1,6.175655,0.1147818565368652,0.3452045917510986,0.45998644828796376,ConBAP,3.58
3d4z,6.2125044,0.0620977878570556,0.4014220237731933,0.4635198116302489,ConBAP,4.89
3dx2,6.5242133,0.0871548652648925,0.352410078048706,0.4395649433135985,ConBAP,6.82
3ejr,6.3700943,0.1454083919525146,0.3700861930847168,0.5154945850372314,ConBAP,8.57
3l7b,7.3567348,0.1401371955871582,0.3549935817718506,0.4951307773590088,ConBAP,2.4
4eky,7.7518816,0.1370706558227539,0.4738297462463379,0.6109004020690918,ConBAP,3.52
3g2n,7.6743436,0.0640811920166015,0.3725941181182861,0.4366753101348876,ConBAP,4.09
3syr,6.88505,0.1017062664031982,0.3664913177490234,0.46819758415222157,ConBAP,5.1
3ebp,6.268846,0.1324460506439209,0.3604834079742431,0.492929458618164,ConBAP,5.91
2w66,6.914142,0.0524883270263671,0.3839685916900635,0.43645691871643055,ConBAP,4.05
2w4x,6.929189,0.0779392719268798,0.3361482620239258,0.41408753395080555,ConBAP,4.85
2wca,6.7547936,0.1078050136566162,0.4062161445617676,0.5140211582183838,ConBAP,5.6
2xj7,6.89483,0.0635919570922851,0.3888301849365234,0.4524221420288085,ConBAP,6.66
2vvn,7.2376103,0.0626296997070312,0.3828639984130859,0.4454936981201171,ConBAP,7.3
3aru,7.232078,0.0422325134277343,0.3451576232910156,0.38739013671874994,ConBAP,3.22
3arv,7.9375134,0.0619661808013916,0.3412573337554931,0.4032235145568847,ConBAP,5.64
